query-id	corpus-id	score
"""as is"" clause with carveouts"	e279fd792f	3
"""as is"" clause with carveouts"	4f06e1c658	3
"""as is"" clause with carveouts"	adec05476d	1
"""as is"" clause with carveouts"	494c10db01	3
"""as is"" clause with carveouts"	e282637c4e	3
"""as is"" clause with carveouts"	d6b640c15b	3
"""as is"" clause with carveouts"	2d1aa23598	3
"""as is"" clause with carveouts"	833fce839c	3
"""as is"" clause with carveouts"	dfa34ff292	4
"""as is"" clause with carveouts"	2594c96e9e	1
"""as is"" clause with carveouts"	8f48e80898	1
"""as is"" clause with carveouts"	36313ea176	1
"""as is"" clause with carveouts"	fd45d6ad34	1
"""as is"" clause with carveouts"	a7257ed1e6	1
"""as is"" clause with carveouts"	25dd51f2b4	1
"""as is"" clause with carveouts"	a2c0dd4d46	1
"""as is"" clause with carveouts"	b089f3fab0	1
"""as is"" clause with carveouts"	8504e09cec	1
"""as is"" clause with carveouts"	6b9472dee4	1
"""as is"" clause with carveouts"	4932239d45	1
"""as is"" clause with carveouts"	758dbd7a0a	1
"""as is"" clause with carveouts"	c6acd239ec	1
"""as is"" clause with carveouts"	ae3e579256	1
"""as is"" clause with carveouts"	07cce1fa84	1
"""as is"" clause with carveouts"	dbfb75b908	1
"""as is"" clause with carveouts"	d851eb91c8	1
"""as is"" clause with carveouts"	5bb8ac4730	1
"""as is"" clause with carveouts"	3a4d594457	1
"""as is"" clause with carveouts"	b015ee8812	1
"""as is"" clause with carveouts"	09fb729f2f	1
"""as is"" clause with carveouts"	40d6fdec6e	1
"""as is"" clause with carveouts"	7f7315ec02	1
"""as is"" clause with carveouts"	7c619849ac	0
"""as is"" clause with carveouts"	bc36dd63be	0
"""as is"" clause with carveouts"	6bf28f90ee	0
"""as is"" clause with carveouts"	f930b17ed1	0
"""as is"" clause with carveouts"	1e2964e50d	0
"""as is"" clause with carveouts"	86eff6f25a	0
"""as is"" clause with carveouts"	043552ecdf	0
"""as is"" clause with carveouts"	c845bcec49	0
"""as is"" clause with carveouts"	17bc95d98c	0
"""as is"" clause with carveouts"	c432817bc3	0
"""as is"" clause with carveouts"	c0d08239d6	0
"""as is"" clause with carveouts"	302f0ef397	0
"""as is"" clause with carveouts"	2c8a115628	0
"""as is"" clause with carveouts"	3726bf214b	0
"""as is"" clause with carveouts"	424aa8a1d3	0
"""as is"" clause with carveouts"	5d792e917a	0
"""as is"" clause with carveouts"	4099f55fe6	0
"""as is"" clause with carveouts"	68fd56fafb	0
"""as is"" clause with carveouts"	1a6cd4f687	0
"""as is"" clause with carveouts"	6047f2283e	0
"""as is"" clause with carveouts"	4bc7860948	0
"""as is"" clause with carveouts"	1ff5501457	0
"""as is"" clause with carveouts"	5f0d14fafc	0
"""as is"" clause with carveouts"	ab1411cb6f	0
"""as is"" clause with carveouts"	07c7a569f5	0
"""as is"" clause with carveouts"	4ec984a84d	0
"""as is"" clause with carveouts"	a24217e6e3	0
"""as is"" clause with carveouts"	642c010123	0
"""as is"" clause with carveouts"	0a05d86d5d	0
"""as is"" clause with carveouts"	854dbdb842	0
"""as is"" clause with carveouts"	a56d7c34d4	0
"""as is"" clause with carveouts"	e591d47840	0
"""as is"" clause with carveouts"	7338b6b180	0
"""as is"" clause with carveouts"	18e6ba1ec4	0
"""as is"" clause with carveouts"	5b901ca388	0
"""as is"" clause with carveouts"	c56ebe40d3	0
"""as is"" clause with carveouts"	a6d6d68a2f	0
"""as is"" clause with carveouts"	443dcbc6c9	0
"""as is"" clause with carveouts"	259c24760f	0
"""as is"" clause with carveouts"	d0e831f208	0
"""as is"" clause with carveouts"	7da204a9a5	0
"""as is"" clause with carveouts"	b7bbeccc58	0
"""as is"" clause with carveouts"	a67ab15ffc	0
"""as is"" clause with carveouts"	ca00640656	0
"""as is"" clause with carveouts"	6a647abf4c	0
"""as is"" clause with carveouts"	304da2ceb6	0
"""as is"" clause with carveouts"	76893dc3ba	0
"""as is"" clause with carveouts"	8f623e1f3a	0
"""as is"" clause with carveouts"	5f6b28e9de	0
"""as is"" clause with carveouts"	9ea8e6282d	0
